GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153642,0.567612688,0.484140234,0.843071786,0.141903172,0.166944908,0.859766277,0.484140234,0.277777778,0,0,2.9,0.133555927,0.692821369,0.175292154,42.4
59153643,0.785046729,0.61682243,0.799065421,0.098130841,0.303738318,0.88317757,0.443925234,0.067873303,0,0,2.4,0.14953271,0.752336449,0.098130841,38.2
59153644,0.866510539,0.632318501,0.790398126,0.131733021,0.333723653,0.974824356,0.503512881,0.012468828,0,0,2.2,0.12295082,0.81381733,0.067330211,35.9
59153645,0.749167592,0.564187939,0.745467999,0.142434332,0.294117647,0.915649279,0.475397706,0.041017227,0,0,2.3,0.146133925,0.752867185,0.099889012,37.4
59153646,0.447154472,0.426829268,0.721544715,0.396341463,0.152439024,0.782520325,0.426829268,0,0,0,1.8,0.111788618,0.670731707,0.223577236,46.6
59153647,0.626477541,0.508274232,0.827423168,0.260047281,0.130023641,0.992907801,0.401891253,0.239520958,0,0,2.7,0.141843972,0.756501182,0.094562648,37.6
59153648,0.838815789,0.685307018,0.734649123,0.087719298,0.427631579,0.882675439,0.515350877,0,0.853413655,0,1.9,0.082236842,0.690789474,0.230263158,45.5
59153649,0.754847645,0.671745152,0.727146814,0.027700831,0.373961219,0.872576177,0.491689751,0.01650165,0.313531353,0,2.2,0.110803324,0.671745152,0.21468144,46.5
59153650,0.661764706,0.535714286,0.840336134,0.042016807,0.336134454,0.976890756,0.535714286,0,0,0,2.8,0.199579832,0.735294118,0.06302521,35.3
59153651,0.475708502,0.414979757,0.698380567,0.435222672,0.04048583,0.890688259,0.425101215,0.020080321,0,0,2.1,0.12145749,0.809716599,0.070850202,36
59153652,0.54973822,0.366492147,0.811518325,0.087260035,0.235602094,0.881326353,0.541012216,0.675675676,0,0,2.8,0.122164049,0.715532286,0.165794066,42.8
59153653,0.736842105,0.601108033,0.808864266,0.041551247,0.412742382,0.941828255,0.537396122,0.036540804,0.456760049,0,2.3,0.110803324,0.734072022,0.152354571,43
59153654,0.710339384,0.651144436,0.781373323,0.059194949,0.422257301,0.864246251,0.595895817,0.008169935,0.833333333,0,2.1,0.106550908,0.682715075,0.213101815,46.3
59153655,0.656161806,0.540921919,0.80667921,0.126999059,0.310442145,0.964252117,0.545625588,0.015544041,0.32642487,0,2.2,0.171683913,0.740827846,0.089369708,37.5
59153656,0.465328467,0.355839416,0.912408759,0.118613139,0.218978102,0.903284672,0.483576642,0.428571429,0,0,2.9,0.173357664,0.684306569,0.136861314,40.9
59153657,0.204045422,0.287437899,0.951029099,0.133073101,0.441802697,0.986515259,0.544712562,0,0.441903585,0,1.8,0.070972321,0.667139815,0.260823279,49.5
59153658,0.335689046,0.371024735,0.889281508,0.223792697,0.200235571,0.948174323,0.406360424,0.05800464,0.313225058,0,2.2,0.135453475,0.795053004,0.07656066,38.2
59153659,0.469678954,0.457788347,0.832342449,0.255648038,0.202140309,0.909631391,0.422116528,0.056561086,0.101809955,0,2.1,0.136741974,0.772889417,0.089179548,38.5
59153660,0.346491228,0.346491228,0.969298246,0.065789474,0.473684211,1,0.548245614,0,0.970394737,0,1.9,0.070175439,0.600877193,0.333333333,52.3
59153661,0.362903226,0.322580645,0.85483871,0.129032258,0.35483871,0.951612903,0.532258065,0.016233766,0.876623377,0,2,0.112903226,0.782258065,0.120967742,41.8
59153662,0.610573343,0.413253909,0.694341028,0.266195086,0.23641102,0.941921072,0.43186895,0.003477051,0.90403338,0,1.9,0.076321668,0.871183917,0.053983619,34.6
